order_id,customer_id,date,product_category,amount,payment_method,shipping_state,returned,customer_age
1,103,2023-01-19,Books,6.8,Debit Card,FL,False,26.0
2,271,2023-01-18,Electronics,17.35,PayPal,CA,False,50.0
3,107,2023-09-14,Clothing,34.89,Cash,IL,True,31.0
4,72,2023-03-19,Electronics,25.26,Credit Card,CA,False,65.0
5,189,2023-06-24,Electronics,23.9,Cash,IL,False,37.0
6,21,2023-07-13,Books,8.86,Debit Card,CA,False,32.0
7,103,2023-04-23,Clothing,54.08,PayPal,NY,False,49.0
8,122,2023-04-24,Clothing,44.96,Debit Card,OH,True,50.0
9,215,2023-08-10,Electronics,119.35,Debit Card,TX,False,34.0
10,88,2023-06-15,Clothing,59.24,Debit Card,TX,False,41.0
11,100,2023-11-15,Electronics,17.19,PayPal,PA,False,47.0
12,152,2023-05-12,Electronics,13.13,Cash,OH,False,
13,131,2023-09-21,Home,18.41,Debit Card,FL,False,64.0
14,150,2023-02-24,Electronics,91.87,PayPal,PA,False,65.0
15,258,2023-12-25,Home,49.86,Credit Card,NY,True,33.0
16,294,2023-05-11,Electronics,59.01,PayPal,PA,False,19.0
17,192,2023-10-15,Electronics,55.12,Credit Card,TX,False,34.0
18,277,2023-09-23,Electronics,63.58,PayPal,FL,False,49.0
19,161,2023-06-11,Home,14.08,Cash,NY,False,60.0
20,22,2023-03-28,Home,29.15,Debit Card,,False,25.0
21,253,2023-02-24,Clothing,37.35,Cash,OH,False,
22,236,2023-10-15,Clothing,60.78,PayPal,CA,False,20.0
23,49,2023-06-27,Home,37.4,Debit Card,IL,False,29.0
24,59,2023-12-15,Electronics,51.46,Credit Card,NY,False,37.0
25,170,2023-01-08,Clothing,29.14,PayPal,FL,False,33.0
26,188,2023-11-17,Books,35.4,Debit Card,PA,False,31.0
27,271,2023-11-09,Home,20.96,Credit Card,OH,False,33.0
28,190,2023-09-04,Clothing,15.97,Credit Card,PA,False,70.0
29,175,2023-11-19,Sports,45.09,Cash,NY,False,66.0
30,51,2023-09-12,Books,20.49,PayPal,OH,False,60.0
31,55,2023-11-24,Electronics,16.16,Credit Card,FL,False,66.0
32,244,2023-02-23,Home,23.82,Debit Card,NY,False,68.0
33,131,2023-09-06,Home,32.56,Credit Card,FL,False,71.0
34,135,2023-08-27,Clothing,41.34,Credit Card,PA,False,50.0
35,21,2023-08-17,Clothing,16.11,Cash,TX,False,47.0
36,167,2023-03-08,Clothing,26.47,Cash,OH,False,29.0
37,274,2023-02-20,Home,42.52,Debit Card,CA,True,32.0
38,89,2023-04-07,Clothing,16.15,Cash,TX,False,35.0
39,14,2023-04-02,Books,84.94,Credit Card,CA,False,
40,242,2023-09-21,Home,72.69,Credit Card,PA,False,40.0
41,265,2023-10-18,Electronics,50.43,Cash,OH,False,31.0
42,53,2023-04-06,Home,53.9,Credit Card,TX,True,
43,92,2023-03-29,Electronics,29.27,Credit Card,TX,False,50.0
44,264,2023-03-19,Home,25.23,Debit Card,NY,True,62.0
45,35,2023-10-15,Home,114.15,Cash,IL,False,32.0
46,206,2023-04-30,Electronics,36.35,Credit Card,PA,True,24.0
47,81,2023-10-29,Clothing,25.94,Cash,FL,False,32.0
48,50,2023-06-14,Electronics,14.69,Debit Card,PA,False,69.0
49,2,2023-07-01,Electronics,36.02,Cash,FL,False,59.0
50,54,2023-08-11,Clothing,38.1,Credit Card,OH,False,63.0
51,106,2023-11-07,Clothing,35.5,Cash,FL,True,55.0
52,260,2023-01-07,Sports,53.41,Credit Card,CA,False,63.0
53,191,2023-11-26,Clothing,26.71,Credit Card,FL,False,73.0
54,218,2023-09-20,Clothing,84.69,Credit Card,FL,False,74.0
55,44,2023-06-10,Home,21.04,Debit Card,NY,True,71.0
56,162,2023-05-31,Electronics,23.17,Cash,TX,False,61.0
57,202,2023-03-26,Sports,25.39,Debit Card,PA,False,28.0
58,270,2023-05-27,Home,28.62,Cash,PA,False,46.0
59,271,2023-04-22,Books,18.47,Debit Card,OH,False,48.0
60,215,2023-02-05,Electronics,4.49,PayPal,OH,False,42.0
61,252,2023-10-12,Clothing,17.9,Credit Card,FL,False,69.0
62,190,2023-07-07,Clothing,52.34,Credit Card,IL,False,
63,296,2023-03-23,Books,10.64,Debit Card,PA,False,41.0
64,213,2023-01-02,Electronics,51.04,PayPal,OH,False,74.0
65,208,2023-10-30,Clothing,115.71,Credit Card,FL,False,36.0
66,237,2023-07-16,Sports,77.69,Cash,OH,False,19.0
